                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1005,                0.56487,                0.84184,                 3.3495,             0.00023707,             0.00023707,             0.00023707
                      2,                 1.5162,                0.76895,                0.93367,                 3.0297,             0.00046566,             0.00046566,             0.00046566
                      3,                 1.0161,                0.82289,                0.95262,                 2.9407,             0.00068483,             0.00068483,             0.00068483
                      4,                0.82446,                0.83673,                  0.957,                 2.8923,             0.00067159,             0.00067159,             0.00067159
                      5,                0.71248,                0.85058,                0.96064,                 2.8658,             0.00065745,             0.00065745,             0.00065745
                      6,                0.64123,                0.87099,                0.96283,                 2.8499,             0.00064331,             0.00064331,             0.00064331
                      7,                0.55595,                0.87828,                0.96283,                 2.8347,             0.00062918,             0.00062918,             0.00062918
                      8,                0.50223,                0.86443,                0.96429,                 2.8286,             0.00061504,             0.00061504,             0.00061504
                      9,                0.46887,                0.87536,                0.96356,                 2.8228,              0.0006009,              0.0006009,              0.0006009
                     10,                0.42065,                0.87318,                0.96647,                 2.8177,             0.00058677,             0.00058677,             0.00058677
                     11,                0.42556,                0.87901,                0.96356,                 2.8098,             0.00057263,             0.00057263,             0.00057263
                     12,                0.38455,                0.88776,                0.96793,                 2.8006,             0.00055849,             0.00055849,             0.00055849
                     13,                0.33586,                0.88411,                0.96866,                    2.8,             0.00054435,             0.00054435,             0.00054435
                     14,                0.30699,                0.89723,                0.96793,                 2.7908,             0.00053022,             0.00053022,             0.00053022
                     15,                0.32319,                0.88848,                0.96793,                 2.7973,             0.00051608,             0.00051608,             0.00051608
                     16,                0.30408,                0.90087,                 0.9621,                 2.7894,             0.00050194,             0.00050194,             0.00050194
                     17,                0.28847,                0.89286,                 0.9672,                 2.7908,              0.0004878,              0.0004878,              0.0004878
                     18,                0.28571,                0.88411,                0.97085,                 2.7923,             0.00047367,             0.00047367,             0.00047367
                     19,                0.28133,                0.90015,                0.96647,                 2.7794,             0.00045953,             0.00045953,             0.00045953
                     20,                 0.2672,                0.89359,                 0.9723,                 2.7816,             0.00044539,             0.00044539,             0.00044539
                     21,                0.24372,                0.89431,                0.97157,                 2.7807,             0.00043126,             0.00043126,             0.00043126
                     22,                0.25398,                0.90087,                0.97085,                 2.7805,             0.00041712,             0.00041712,             0.00041712
                     23,                0.22216,                0.89431,                0.96866,                 2.7841,             0.00040298,             0.00040298,             0.00040298
                     24,                0.20743,                0.90452,                 0.9723,                 2.7741,             0.00038884,             0.00038884,             0.00038884
                     25,                0.20885,                 0.9016,                0.97085,                 2.7763,             0.00037471,             0.00037471,             0.00037471
                     26,                0.20824,                0.90015,                0.97012,                 2.7767,             0.00036057,             0.00036057,             0.00036057
                     27,                0.20391,                0.90233,                0.97012,                 2.7733,             0.00034643,             0.00034643,             0.00034643
                     28,                0.20224,                0.89942,                0.97157,                 2.7743,              0.0003323,              0.0003323,              0.0003323
                     29,                0.18981,                0.90671,                0.97012,                 2.7714,             0.00031816,             0.00031816,             0.00031816
                     30,                0.18492,                0.90015,                0.97012,                 2.7744,             0.00030402,             0.00030402,             0.00030402
                     31,                0.18414,                0.89942,                0.97376,                 2.7731,             0.00028988,             0.00028988,             0.00028988
                     32,                 0.1763,                0.90379,                0.97085,                 2.7706,             0.00027575,             0.00027575,             0.00027575
                     33,                0.19027,                0.90452,                0.97157,                 2.7695,             0.00026161,             0.00026161,             0.00026161
                     34,                0.18623,                0.90306,                0.97085,                 2.7669,             0.00024747,             0.00024747,             0.00024747
                     35,                 0.1554,                0.91108,                 0.9723,                 2.7634,             0.00023334,             0.00023334,             0.00023334
                     36,                0.17603,                0.90452,                0.97376,                 2.7697,              0.0002192,              0.0002192,              0.0002192
                     37,                0.16473,                0.90743,                0.97085,                 2.7693,             0.00020506,             0.00020506,             0.00020506
                     38,                0.15029,                0.90233,                 0.9723,                 2.7702,             0.00019092,             0.00019092,             0.00019092
                     39,                0.15928,                0.90306,                0.96939,                 2.7698,             0.00017679,             0.00017679,             0.00017679
                     40,                0.14373,                0.90598,                0.97595,                  2.767,             0.00016265,             0.00016265,             0.00016265
