                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4018,                0.24884,                0.55617,                 3.4545,             0.00023681,             0.00023681,             0.00023681
                      2,                 2.5833,                0.44847,                0.75766,                 3.2784,             0.00045914,             0.00045914,             0.00045914
                      3,                 2.0956,                0.51253,                0.81708,                 3.1867,             0.00066576,             0.00066576,             0.00066576
                      4,                 1.8673,                0.53946,                0.82916,                 3.1337,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.6703,                0.58496,                0.84215,                 3.0956,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.5397,                 0.5896,                0.85608,                 3.0795,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.4748,                0.59517,                0.85794,                 3.0606,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.3792,                0.62303,                0.87001,                 3.0433,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.3021,                0.63324,                0.86908,                 3.0243,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.2368,                0.64067,                0.87929,                 3.0124,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.1731,                0.66667,                0.88115,                  2.999,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.1467,                0.66481,                0.87187,                 2.9952,             0.00045482,             0.00045482,             0.00045482
                     13,                 1.0985,                 0.6676,                0.87558,                 3.0026,             0.00043126,             0.00043126,             0.00043126
                     14,                 1.0643,                0.66295,                0.88487,                 2.9817,             0.00040769,             0.00040769,             0.00040769
                     15,                 1.0157,                0.66852,                0.88301,                 2.9773,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.9815,                0.66945,                0.88858,                 2.9833,             0.00036057,             0.00036057,             0.00036057
                     17,                0.96571,                0.67874,                0.88394,                 2.9785,             0.00033701,             0.00033701,             0.00033701
                     18,                0.91344,                0.66017,                0.88115,                 2.9756,             0.00031345,             0.00031345,             0.00031345
                     19,                0.88814,                0.67781,                0.88487,                 2.9621,             0.00028988,             0.00028988,             0.00028988
                     20,                0.87411,                0.68617,                0.89229,                 2.9523,             0.00026632,             0.00026632,             0.00026632
                     21,                0.86888,                0.67874,                0.88394,                 2.9585,             0.00024276,             0.00024276,             0.00024276
                     22,                 0.8214,                0.68152,                0.88579,                 2.9494,              0.0002192,              0.0002192,              0.0002192
                     23,                0.78738,                0.68709,                0.88765,                 2.9473,             0.00019564,             0.00019564,             0.00019564
                     24,                0.79875,                0.69731,                0.88951,                 2.9462,             0.00017207,             0.00017207,             0.00017207
                     25,                 0.7885,                0.68895,                0.88672,                 2.9464,             0.00014851,             0.00014851,             0.00014851
                     26,                0.75785,                0.68895,                0.88858,                  2.947,             0.00012495,             0.00012495,             0.00012495
                     27,                0.74882,                0.69359,                0.88951,                  2.943,             0.00010139,             0.00010139,             0.00010139
                     28,                0.73152,                0.69545,                0.89229,                 2.9368,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.72552,                0.69824,                0.88301,                 2.9409,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.71844,                0.70009,                0.89229,                 2.9367,             3.0702e-05,             3.0702e-05,             3.0702e-05
