                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3759,                0.34329,                 0.6363,                 3.4739,             0.00023707,             0.00023707,             0.00023707
                      2,                  2.335,                0.55831,                0.83673,                 3.2485,             0.00045939,             0.00045939,             0.00045939
                      3,                 1.8039,                0.61589,                0.87536,                 3.1617,               0.000666,               0.000666,               0.000666
                      4,                 1.5477,                0.68003,                0.90379,                  3.095,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.4377,                0.68149,                0.91181,                 3.0758,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.3151,                0.71574,                0.92347,                 3.0418,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.1976,                0.71793,                0.92055,                 3.0231,             0.00057263,             0.00057263,             0.00057263
                      8,                  1.148,                0.72449,                0.93222,                  3.007,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.0928,                0.74125,                0.93003,                 2.9821,              0.0005255,              0.0005255,              0.0005255
                     10,                  1.026,                0.76093,                0.92857,                 2.9762,             0.00050194,             0.00050194,             0.00050194
                     11,                 0.9939,                0.75437,                 0.9293,                 2.9743,             0.00047838,             0.00047838,             0.00047838
                     12,                0.94433,                0.78134,                 0.9395,                  2.948,             0.00045482,             0.00045482,             0.00045482
                     13,                 0.8881,                0.78134,                 0.9395,                  2.947,             0.00043126,             0.00043126,             0.00043126
                     14,                 0.8706,                0.78936,                0.94023,                 2.9416,             0.00040769,             0.00040769,             0.00040769
                     15,                0.85175,                 0.7777,                0.94242,                 2.9403,             0.00038413,             0.00038413,             0.00038413
                     16,                0.79638,                0.78353,                0.94023,                 2.9404,             0.00036057,             0.00036057,             0.00036057
                     17,                 0.7953,                0.77915,                0.93586,                 2.9324,             0.00033701,             0.00033701,             0.00033701
                     18,                0.76188,                0.79009,                0.94315,                 2.9233,             0.00031345,             0.00031345,             0.00031345
                     19,                0.75095,                0.79665,                0.94023,                  2.914,             0.00028988,             0.00028988,             0.00028988
                     20,                0.74591,                0.81195,                0.94534,                 2.9068,             0.00026632,             0.00026632,             0.00026632
                     21,                0.70664,                0.80248,                0.94461,                 2.9089,             0.00024276,             0.00024276,             0.00024276
                     22,                0.68872,                0.80539,                0.94534,                  2.908,              0.0002192,              0.0002192,              0.0002192
                     23,                0.67719,                0.80612,                0.94606,                 2.9022,             0.00019564,             0.00019564,             0.00019564
                     24,                0.63686,                 0.8156,                0.94534,                 2.8959,             0.00017207,             0.00017207,             0.00017207
                     25,                0.63019,                0.81195,                0.94534,                 2.8957,             0.00014851,             0.00014851,             0.00014851
                     26,                0.63448,                0.82289,                0.94752,                 2.8934,             0.00012495,             0.00012495,             0.00012495
                     27,                0.63087,                0.81487,                0.94606,                 2.8931,             0.00010139,             0.00010139,             0.00010139
                     28,                0.62615,                0.81414,                0.94388,                 2.8934,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.61099,                0.81924,                0.94679,                 2.8949,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.62898,                0.81706,                0.94606,                 2.8911,             3.0702e-05,             3.0702e-05,             3.0702e-05
