                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3609,                    0.3,                0.61803,                 3.4245,             0.00023695,             0.00023695,             0.00023695
                      2,                 2.4279,                0.51639,                0.80492,                 3.2231,             0.00045927,             0.00045927,             0.00045927
                      3,                 1.9124,                0.56475,                0.85984,                 3.1317,             0.00066589,             0.00066589,             0.00066589
                      4,                 1.6855,                 0.5959,                0.86639,                  3.077,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.5354,                0.61639,                0.88443,                 3.0504,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.4387,                0.66311,                0.89754,                 3.0069,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.3554,                 0.6623,                0.89426,                 3.0042,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.2556,                0.67131,                 0.9041,                 2.9912,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.2098,                0.69508,                0.90492,                  2.957,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.1648,                0.67869,                 0.9041,                 2.9766,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.1379,                0.69344,                0.90246,                  2.959,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.0664,                 0.7082,                 0.9123,                 2.9443,             0.00045482,             0.00045482,             0.00045482
                     13,                0.97626,                0.70246,                 0.9041,                 2.9482,             0.00043126,             0.00043126,             0.00043126
                     14,                0.96334,                0.70574,                0.91066,                 2.9304,             0.00040769,             0.00040769,             0.00040769
                     15,                0.93963,                0.72787,                0.91475,                 2.9173,             0.00038413,             0.00038413,             0.00038413
                     16,                0.90306,                0.73525,                 0.9123,                 2.9204,             0.00036057,             0.00036057,             0.00036057
                     17,                0.87026,                0.72295,                0.91475,                 2.9325,             0.00033701,             0.00033701,             0.00033701
                     18,                0.87609,                0.72213,                 0.9041,                 2.9169,             0.00031345,             0.00031345,             0.00031345
                     19,                0.86474,                0.72787,                0.91721,                 2.9106,             0.00028988,             0.00028988,             0.00028988
                     20,                0.80646,                0.73279,                0.91803,                 2.9101,             0.00026632,             0.00026632,             0.00026632
                     21,                0.79227,                0.73197,                0.92541,                 2.9015,             0.00024276,             0.00024276,             0.00024276
                     22,                 0.7524,                0.73934,                0.91967,                 2.8969,              0.0002192,              0.0002192,              0.0002192
                     23,                0.74122,                0.72459,                0.92049,                 2.9074,             0.00019564,             0.00019564,             0.00019564
                     24,                0.73813,                0.74016,                0.91803,                 2.8928,             0.00017207,             0.00017207,             0.00017207
                     25,                0.71794,                0.74262,                0.92705,                 2.8903,             0.00014851,             0.00014851,             0.00014851
                     26,                0.69424,                0.74262,                0.92459,                 2.8847,             0.00012495,             0.00012495,             0.00012495
                     27,                0.68068,                   0.75,                0.92459,                 2.8814,             0.00010139,             0.00010139,             0.00010139
                     28,                0.67305,                0.74672,                0.92377,                  2.887,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.67869,                 0.7459,                0.92459,                 2.8949,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.67714,                0.74918,                0.92541,                 2.8841,             3.0702e-05,             3.0702e-05,             3.0702e-05
